"Path","Cat","Reason","SizeDiff"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA117-Die tieferen Geheimnisse des Menschheitswerdens im Lichte der Evangelien\GA117 - Die tieferen Geheimnisse des Menschheitswerdens im Lichte der Evangelien (1909)-Christoph_PC.md","content","CONTENT_DIFF","0"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA210-Alte und neue Einweihungsmethoden\GA210 (14.) EINZELVORTRAG, Breslau, 1. Februar 1922-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA210-Alte und neue Einweihungsmethoden\GA210 - Alte und neue Einweihungsmethoden (1922)-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA214-Das Geheimnis der Trinität\GA214 (7.) SIEBENTER VORTRAG, Dornach, 9. August 1922-Christoph_PC.md","content","CONTENT_DIFF","0"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA214-Das Geheimnis der Trinität\GA214 - Das Geheimnis der Trinität (1922)-Christoph_PC.md","content","CONTENT_DIFF","0"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA231-Der übersinnliche Mensch - anthroposophisch erfasst\GA231 - Der übersinnliche Mensch anthroposophisch erfasst (1923)-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA255b-Die Anthroposophie und ihre Gegner 1919 - 1921\GA255b (2.) MITGLIEDERVORTRAG, Dornach, 16. November 1919-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Emanzipation-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Frauenfrage-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Goethe - Weltanschauung-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Harmonie-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Kindererziehung-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Kultureller Einfluss-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Kulturepochen-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Männliche Natur-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Natur & Geist-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter\Weibliche Natur-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter & Text GAs\GA068c - Schlagwörter-Christoph_PC.md","content","CONTENT_DIFF","-12"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\E-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\F-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\G-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\H-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\K-Christoph_PC.md","content","CONTENT_DIFF","-3"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\M-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\N-Christoph_PC.md","content","CONTENT_DIFF","-1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\Schlagwörter A-Z\W-Christoph_PC.md","content","CONTENT_DIFF","-1"
